utc time,sun zenith [deg],sun azimuth [deg],sat zenith [deg],sat azimuth [deg],scattering angle [deg],sat ENU coordinates [km],lookat ENU coordinates [km]
120,144.73918061021007,33.3067221052232,27.301005590137574,-11.665185413391242,116.52448603143824,"[299.35934834653966, -61.804664130023944, 592.2046199974211]","[0, 0, 0]"
140,144.69363973708744,33.413442727192354,27.30148098584229,-11.66440539087904,119.07584052433587,"[299.3661460393269, -61.801818292643674, 592.2043470859597]","[0, 0, 0]"
140,144.69363973708744,33.413442727192354,32.99757378530978,-11.658865669211812,85.85452628073746,"[374.1439330806947, -77.20139670725798, 588.3227373687085]","[0, 0, 0]"
140,144.69363973708744,33.413442727192354,38.14391031177509,-11.652926547427606,22.458377655391512,"[448.87994597725435, -92.57402328864838, 583.6037516659845]","[0, 0, 0]"
160,144.647970218449,33.51987878521625,38.14429860562921,-11.652407980882476,23.673438004254898,"[448.8867339539203, -92.5711876704336, 583.6033453471609]","[0, 0, 0]"
160,144.647970218449,33.51987878521625,42.7626118241561,-11.646188801265765,72.94870114546984,"[523.5721541355366, -107.91386191146545, 578.0474652674454]","[0, 0, 0]"
160,144.647970218449,33.51987878521625,46.89408131570633,-11.639618351056335,162.39345949302697,"[598.1981791489519, -123.22357820874159, 571.6554089495222]","[0, 0, 0]"
180,144.60217255496173,33.62603057441974,46.89439219808381,-11.639230608154476,164.62265416772064,"[598.2049542128595, -123.22075375351558, 571.6548693721601]","[0, 0, 0]"
180,144.60217255496173,33.62603057441974,50.58875026639361,-11.632370946561595,17.702244098122843,"[672.7627745665972, -138.49452376669294, 564.4273248366816]","[0, 0, 0]"
180,144.60217255496173,33.62603057441974,53.89734854018508,-11.625180658426792,153.01815354587498,"[747.2436022142969, -153.72935412860969, 556.3652162948018]","[0, 0, 0]"
200,144.5562472461109,33.73189839656005,53.89759796375235,-11.624871486962547,152.27868928333433,"[747.250361174816, -153.72654177659768, 556.3645436681052]","[0, 0, 0]"
200,144.5562472461109,33.73189839656005,56.8692041094072,-11.617388371506884,18.023396214021595,"[821.6453999748115, -168.91945833186807, 547.4687652336402]","[0, 0, 0]"
200,144.5562472461109,33.73189839656005,59.5481329971943,-11.609585091123707,171.01307516553715,"[895.9458805486028, -184.06748196700124, 537.74044675542]","[0, 0, 0]"
220,144.51019479019217,33.83748255993293,59.54833575157715,-11.609328365268237,171.8850896050364,"[895.9526202227305, -184.06468265453734, 537.7396413488723]","[0, 0, 0]"
220,144.51019479019217,33.83748255993293,61.973656212076015,-11.601230237849464,49.15123032822297,"[970.1497640436797, -199.16485540825144, 527.179882604094]","[0, 0, 0]"
220,144.51019479019217,33.83748255993293,64.17930954949556,-11.592817730718563,77.22515522858664,"[1044.2348246542354, -214.21421442868885, 515.7900185339512]","[0, 0, 0]"
